EmployeeID,FirstName,LastName,Gender,State,City,BirthDate,HireDate,TerminationDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,Salary,AdjustedSalary
HR00067,Reyansh,Nath,Female,West Bengal,Siliguri,1967-05-08,2024-12-08,,Customer Support,Support Team Lead,Bachelor's,Good,No,136134,150173
HR00068,Ishaan,Gupta,Male,Karnataka,Hubli,1960-08-28,2017-01-20,,Sales,Senior Sales Executive,Diploma,Satisfactory,Yes,107019,112434
HR00069,Krishna,Reddy,Male,Rajasthan,Udaipur,1993-04-25,2021-06-06,,Sales,Sales Executive,Diploma,Satisfactory,No,80392,82820
HR00070,Aarav,Naik,Male,Delhi,Saket,1981-02-05,2020-06-17,,HR,Talent Acquisition Specialist,Bachelor's,Excellent,No,81523,87311
HR00071,Neha,Joshi,Male,West Bengal,Siliguri,1977-06-19,2015-12-14,,Sales,Sales Executive,Bachelor's,Good,No,53436,57230
HR00072,Aarav,Kumar,Male,Uttar Pradesh,Kanpur,1962-05-16,2022-10-25,,Sales,Senior Sales Executive,Bachelor's,Satisfactory,No,126466,136773
HR00073,Vivaan,Kumar,Female,Punjab,Patiala,1985-08-12,2018-06-26,,R&D,Research Associate,Master's,Needs Improvement,No,56369,63878
HR00074,Pooja,Bose,Male,Karnataka,Hubli,1990-05-11,2017-10-23,,Sales,Sales Executive,Bachelor's,Good,Yes,66657,70690
HR00075,Vivaan,Tripathi,Female,Gujarat,Ahmedabad,1982-12-18,2020-09-23,,Sales,Account Executive,Diploma,Good,Yes,43269,45917
HR00076,Amit,Nath,Female,Delhi,Rohini,1993-12-07,2016-08-08,,Sales,Sales Executive,Bachelor's,Good,Yes,48678,52134
HR00077,Ritika,Shah,Male,Punjab,Amritsar,1998-06-03,2022-12-06,,Marketing,Marketing Executive,Master's,Excellent,No,94461,103907
HR00078,Kavya,Mehta,Female,Gujarat,Vadodara,1979-06-01,2022-07-26,,Sales,Account Executive,Bachelor's,Good,No,78762,86041
HR00079,Myra,Patel,Male,Delhi,Saket,1962-07-14,2022-12-07,,Sales,Senior Sales Executive,Bachelor's,Good,No,122664,132661
HR00080,Suresh,Nath,Male,Tamil Nadu,Madurai,1982-01-01,2020-07-26,,HR,HR Executive,Master's,Good,Yes,52637,59059
HR00081,Shaurya,Mehta,Female,Delhi,Saket,1979-12-02,2019-10-24,,Sales,Sales Executive,Bachelor's,Satisfactory,No,69142,75532
HR00082,Ananya,Pandey,Male,Rajasthan,Bikaner,1994-09-19,2021-12-12,,Operations,Operations Executive,Diploma,Satisfactory,No,32017,32984
HR00083,Isha,Kulkarni,Female,Tamil Nadu,Chennai,1975-12-06,2021-05-26,2022-08-16,Sales,Senior Sales Executive,Bachelor's,Needs Improvement,No,76606,83686
HR00084,Rohit,Agarwal,Female,West Bengal,Kolkata,1976-04-25,2017-05-01,,IT,Software Engineer,Bachelor's,Good,Yes,111741,122068
HR00085,Sunil,Reddy,Female,Tamil Nadu,Chennai,1996-08-31,2024-01-24,,Operations,Operations Executive,Bachelor's,Good,No,72603,78535
HR00086,Pooja,Dutta,Male,Karnataka,Hubli,1980-10-21,2021-08-01,,Sales,Sales Executive,Diploma,Good,No,43199,44944
HR00087,Sai,Tripathi,Male,Gujarat,Rajkot,1983-03-17,2020-07-23,,IT,Software Engineer,Master's,Good,Yes,88850,99690
HR00088,Rohit,Tripathi,Female,Maharashtra,Mumbai,1992-03-31,2020-08-05,,HR,HR Executive,Master's,Excellent,No,38065,43136
HR00089,Sunil,Tripathi,Female,Telangana,Warangal,1984-05-07,2022-01-26,,Admin,Office Assistant,High School,Satisfactory,No,35847,37295
HR00090,Ritika,Dutta,Male,Karnataka,Hubli,1988-12-07,2023-03-10,,Operations,Operations Executive,Diploma,Needs Improvement,Yes,65198,67167
HR00091,Kavya,Chopra,Male,Punjab,Amritsar,1968-08-06,2022-08-15,,IT,Software Engineer,Master's,Satisfactory,Yes,103621,117403
HR00092,Pavan,Ghosh,Female,Telangana,Warangal,1970-08-19,2022-03-23,2022-11-14,IT,Software Engineer,Master's,Good,No,110176,127326
HR00093,Ishaan,Kohli,Female,Delhi,Rohini,1984-11-16,2020-09-23,2021-12-08,Customer Support,Customer Support Rep,Diploma,Good,No,39114,41508
HR00094,Krishna,Joshi,Female,Rajasthan,Jaipur,1991-05-20,2021-05-27,,R&D,Research Associate,PhD,Satisfactory,Yes,96089,113840
HR00095,Ananya,Shah,Male,Telangana,Hyderabad,1997-04-29,2022-03-12,,Sales,Sales Executive,Diploma,Good,No,76259,77784
HR00096,Aadhya,Tripathi,Female,Tamil Nadu,Coimbatore,1988-07-27,2022-02-02,,Sales,Sales Executive,Bachelor's,Good,No,81990,88689
HR00097,Ananya,Chopra,Female,Rajasthan,Bikaner,1996-08-03,2023-02-01,,Customer Support,Customer Support Rep,High School,Good,No,24297,25031
HR00098,Aadhya,Bhattacharya,Female,Punjab,Chandigarh,1975-09-02,2021-10-22,,Marketing,Content Strategist,Master's,Good,Yes,71113,81385
HR00099,Aarav,Nair,Female,Uttar Pradesh,Varanasi,1973-10-07,2020-08-02,,R&D,Senior Researcher,Master's,Needs Improvement,Yes,126898,145227
HR00100,Sunil,Agarwal,Male,Delhi,Saket,1984-08-11,2023-04-23,,Finance,Accountant,Master's,Good,No,85350,95763
HR00101,Isha,Sharma,Male,Gujarat,Vadodara,1970-07-27,2021-12-09,,IT,Tech Lead,Master's,Satisfactory,No,251068,284460
HR00102,Amit,Gupta,Female,Rajasthan,Jodhpur,1999-07-21,2022-11-15,,IT,IT Support,Diploma,Needs Improvement,No,40754,42400
HR00103,Tara,Kapoor,Male,Maharashtra,Mumbai,1985-03-11,2019-11-26,2021-10-26,Operations,Operations Executive,Diploma,Excellent,No,46899,48315
HR00104,Kiran,Pandey,Male,Tamil Nadu,Chennai,1984-06-16,2019-05-14,,R&D,Research Associate,PhD,Good,Yes,64409,74811
HR00105,Sai,Pandey,Female,West Bengal,Durgapur,1982-08-04,2020-07-13,,IT,Senior Software Engineer,Master's,Good,No,146904,168123
HR00106,Ishaan,Desai,Female,Karnataka,Hubli,1999-06-29,2024-01-10,,Finance,Accountant,Bachelor's,Good,Yes,89812,96189
HR00107,Krishna,Rao,Male,Karnataka,Bengaluru,1985-04-13,2022-01-16,,Finance,Accountant,Bachelor's,Satisfactory,Yes,41441,44383
HR00108,Pavan,Sharma,Female,Punjab,Ludhiana,1982-08-31,2016-05-02,,Operations,Operations Manager,Diploma,Good,No,119669,125749
HR00109,Suresh,Kumar,Female,Punjab,Ludhiana,1975-05-12,2018-08-27,,HR,HR Executive,Master's,Needs Improvement,No,46245,52925
HR00110,Neha,Nair,Male,Tamil Nadu,Chennai,1987-02-25,2017-03-25,,Operations,Operations Executive,Diploma,Satisfactory,Yes,37208,38332
HR00111,Tara,Sharma,Female,Uttar Pradesh,Meerut,1970-07-23,2016-12-12,,Finance,Accountant,Master's,Good,No,44291,50688
HR00112,Priya,Reddy,Female,Karnataka,Mysore,1971-06-04,2023-02-22,2023-12-10,Sales,Sales Manager,Diploma,Good,No,112548,120608
HR00113,Kiran,Naik,Female,Punjab,Chandigarh,1992-06-26,2016-10-16,,R&D,Research Associate,Bachelor's,Excellent,Yes,72898,78074
HR00114,Myra,Khan,Female,West Bengal,Kolkata,1969-06-24,2019-09-17,,R&D,Senior Researcher,Master's,Good,No,101445,116098
HR00115,Aarav,Dutta,Male,Gujarat,Rajkot,1977-07-05,2020-02-24,,Operations,Operations Manager,Bachelor's,Needs Improvement,No,92610,99185
HR00116,Rohit,Bhattacharya,Male,Rajasthan,Jodhpur,1989-09-25,2022-08-11,,Operations,Logistics Coordinator,Bachelor's,Excellent,Yes,62498,66279
HR00117,Rohit,Joshi,Male,Punjab,Patiala,1988-10-30,2022-08-27,,Sales,Sales Executive,Diploma,Good,Yes,42700,43990
HR00118,Ishaan,Shah,Female,Delhi,New Delhi,1984-05-04,2021-05-23,2023-10-04,R&D,Research Associate,Bachelor's,Good,No,88933,97152
HR00119,Neha,Pandey,Female,Punjab,Patiala,2000-09-10,2023-06-22,,IT,Software Engineer,Master's,Good,No,93203,104574
HR00120,Kiran,Shah,Female,Tamil Nadu,Tiruchirappalli,1986-05-13,2020-04-18,,R&D,Research Associate,Master's,Excellent,Yes,82972,94026
HR00121,Ananya,Joshi,Female,Punjab,Amritsar,1998-09-22,2020-10-11,,Finance,Accountant,Bachelor's,Good,No,47827,51223
HR00122,Sai,Singh,Male,Delhi,Saket,1986-12-20,2023-09-08,,Operations,Supply Chain Analyst,Diploma,Good,Yes,60981,63445
HR00123,Isha,Rao,Male,Rajasthan,Bikaner,1989-05-31,2021-01-09,,IT,Senior Software Engineer,Master's,Satisfactory,Yes,96762,107503
HR00124,Krishna,Iyer,Male,Delhi,Rohini,1975-08-31,2020-12-05,,Operations,Supply Chain Analyst,Bachelor's,Satisfactory,No,95576,102362
HR00125,Myra,Bose,Female,West Bengal,Siliguri,1973-06-30,2016-10-08,,Finance,Accountant,Master's,Excellent,No,56760,64958
HR00126,Priya,Pandey,Female,Uttar Pradesh,Agra,1986-03-03,2022-05-09,,HR,Talent Acquisition Specialist,Master's,Satisfactory,No,98690,112945
HR00127,Amit,Reddy,Female,West Bengal,Kolkata,1979-12-20,2024-10-01,,Operations,Operations Executive,Diploma,Excellent,No,75889,80534
HR00128,Reyansh,Reddy,Female,Delhi,Saket,1960-11-01,2015-05-22,,HR,L&D Specialist,Master's,Good,No,117540,135836
HR00129,Shaurya,Kumar,Male,Delhi,Rohini,1978-04-02,2023-04-27,,Operations,Logistics Coordinator,Bachelor's,Satisfactory,Yes,65776,70446
HR00130,Shaurya,Sharma,Female,Telangana,Hyderabad,1998-01-28,2022-05-21,,IT,Software Engineer,Bachelor's,Satisfactory,Yes,65223,69854
HR00131,Myra,Mehta,Male,Tamil Nadu,Tiruchirappalli,2000-10-20,2021-02-22,,Customer Support,Customer Support Rep,Bachelor's,Satisfactory,Yes,19025,19976
HR00132,Shaurya,Saxena,Male,Rajasthan,Bikaner,1988-01-27,2021-06-24,,IT,QA Engineer,Master's,Satisfactory,No,61303,68108
HR00133,Ishaan,Dutta,Male,Rajasthan,Jaipur,1988-09-08,2021-02-03,,Operations,Operations Executive,Diploma,Needs Improvement,No,47977,49426
HR00134,Aditya,Kapoor,Female,Maharashtra,Pune,1978-06-05,2017-03-18,,Marketing,Marketing Executive,Bachelor's,Good,Yes,46353,50637
HR00135,Aditya,Jain,Female,Karnataka,Hubli,1984-09-24,2020-11-06,,IT,IT Support,Diploma,Satisfactory,Yes,57998,61548
HR00136,Aadhya,Pandey,Male,Rajasthan,Udaipur,1980-06-05,2023-10-29,,IT,Senior Software Engineer,Master's,Good,No,105033,117847
HR00137,Tara,Agarwal,Male,Maharashtra,Aurangabad,1976-04-16,2021-02-20,2024-08-17,Sales,Account Executive,Diploma,Good,Yes,54122,56309
HR00138,Rohit,Reddy,Female,Uttar Pradesh,Lucknow,1982-03-30,2019-03-22,,IT,DevOps Engineer,Bachelor's,Needs Improvement,No,143498,156760
HR00139,Myra,Singh,Male,Tamil Nadu,Chennai,1978-12-19,2022-07-29,,IT,Senior Software Engineer,Master's,Good,No,110200,123644
HR00140,Pooja,Saxena,Female,Uttar Pradesh,Lucknow,1982-12-28,2021-04-29,,HR,HR Manager,Bachelor's,Satisfactory,Yes,90361,98712
HR00141,Shaurya,Tripathi,Male,Rajasthan,Jaipur,1994-05-16,2022-12-18,,Legal,Legal Assistant,Master's,Good,Yes,50423,56020
HR00142,Sunil,Kulkarni,Female,Punjab,Ludhiana,1987-10-06,2020-08-05,,Sales,Sales Manager,Bachelor's,Good,No,98374,106412
HR00143,Krishna,Rao,Male,Tamil Nadu,Madurai,1998-01-31,2021-03-14,,Operations,Operations Executive,Diploma,Good,No,56115,57237
HR00144,Reyansh,Kulkarni,Female,Uttar Pradesh,Meerut,1962-05-28,2021-10-19,,Customer Support,Senior Support Rep,Bachelor's,Satisfactory,No,81851,90292
HR00145,Diya,Kumar,Male,Rajasthan,Udaipur,1975-05-20,2022-12-25,,Finance,Finance Analyst,Bachelor's,Satisfactory,No,52340,56056
HR00146,Kavya,Chopra,Male,Rajasthan,Bikaner,1998-08-10,2022-02-11,,IT,Software Engineer,Bachelor's,Satisfactory,No,80597,84627
HR00147,Amit,Shah,Female,Punjab,Amritsar,1992-04-27,2024-01-14,,Sales,Senior Sales Executive,Diploma,Good,No,97799,102768
HR00148,Suresh,Desai,Male,Punjab,Chandigarh,1982-10-23,2021-12-11,,IT,DevOps Engineer,Master's,Good,No,143883,161437
HR00149,Vivaan,Kohli,Female,Tamil Nadu,Tiruchirappalli,1966-08-15,2016-09-22,,Legal,Associate Counsel,Bachelor's,Satisfactory,Yes,106574,116424
HR00150,Ritika,Joshi,Female,Tamil Nadu,Tiruchirappalli,1970-02-16,2023-11-22,,Finance,Accountant,Master's,Needs Improvement,No,37805,43690
HR00151,Isha,Nair,Male,Gujarat,Vadodara,1991-03-24,2019-06-14,,IT,Software Engineer,Bachelor's,Satisfactory,No,75672,80250
HR00152,Ananya,Khan,Female,Rajasthan,Udaipur,1987-10-09,2020-12-05,,Admin,Office Assistant,High School,Satisfactory,No,22727,23413
HR00153,Vivaan,Pandey,Female,Karnataka,Mangalore,1979-03-01,2019-05-10,,Finance,Senior Accountant,Master's,Good,No,145489,166503
HR00154,Neha,Iyer,Female,Telangana,Hyderabad,1968-07-30,2019-12-03,,Finance,Accountant,Master's,Good,No,43797,50614
HR00155,Vivaan,Reddy,Female,Telangana,Warangal,1967-11-17,2020-11-14,2021-05-22,IT,DevOps Engineer,Master's,Good,No,76697,88636
HR00156,Diya,Kohli,Male,Maharashtra,Pune,1976-03-08,2023-05-17,,Customer Support,Senior Support Rep,Bachelor's,Satisfactory,Yes,41626,44581
HR00157,Ritika,Mehta,Male,Rajasthan,Bikaner,1990-11-19,2020-03-03,,Finance,Senior Accountant,Bachelor's,Excellent,No,104424,110742
HR00158,Pooja,Kulkarni,Female,Delhi,Dwarka,1983-01-08,2021-06-09,2023-11-09,Operations,Operations Executive,Bachelor's,Satisfactory,No,50037,54661
HR00159,Myra,Khan,Female,Karnataka,Mysore,1976-03-01,2020-02-28,,IT,Senior Software Engineer,Master's,Good,No,167411,191592
HR00160,Rohit,Desai,Male,Tamil Nadu,Tiruchirappalli,1970-12-28,2016-05-29,,IT,Senior Software Engineer,Bachelor's,Needs Improvement,Yes,134900,144478
HR00161,Ishaan,Khan,Male,Rajasthan,Bikaner,1964-10-09,2015-05-05,,Marketing,SEO Specialist,Bachelor's,Good,Yes,64803,69404
HR00162,Arjun,Iyer,Female,Delhi,Dwarka,1979-08-01,2017-02-05,,IT,Senior Software Engineer,Master's,Satisfactory,No,108014,123616
HR00163,Ananya,Ghosh,Female,Telangana,Warangal,1983-06-02,2022-01-02,,IT,Tech Lead,Bachelor's,Needs Improvement,Yes,204956,223898
HR00164,Pavan,Kapoor,Male,Punjab,Patiala,1978-10-03,2022-03-18,,Customer Support,Senior Support Rep,Diploma,Satisfactory,Yes,84741,88165
HR00165,Isha,Nair,Male,West Bengal,Siliguri,1990-04-07,2021-08-22,,Customer Support,Customer Support Rep,Diploma,Satisfactory,Yes,20535,21155
HR00166,Priya,Jain,Female,Punjab,Patiala,1970-01-23,2018-04-30,,IT,QA Engineer,Master's,Good,Yes,94227,107837
HR00167,Ananya,Nath,Male,Rajasthan,Bikaner,1971-11-30,2022-07-17,,Operations,Operations Manager,Bachelor's,Needs Improvement,No,138529,148365
HR00168,Arjun,Saxena,Female,Maharashtra,Pune,1972-02-21,2015-09-15,,Finance,Accountant,Bachelor's,Good,No,73630,80435
HR00169,Kiran,Dutta,Male,Rajasthan,Jaipur,1985-01-08,2020-09-26,,Operations,Operations Executive,Diploma,Excellent,No,56827,59123
HR00170,Amit,Patel,Female,Gujarat,Surat,1971-05-16,2023-02-08,,Marketing,SEO Specialist,Master's,Good,Yes,85350,98636
HR00171,Ananya,Agarwal,Male,Gujarat,Ahmedabad,1964-12-11,2021-06-18,,Sales,Senior Sales Executive,Diploma,Excellent,No,123632,129888
HR00172,Kiran,Chopra,Female,Gujarat,Vadodara,1975-09-07,2018-11-17,,Sales,Account Executive,Diploma,Good,Yes,109660,116372
HR00173,Kiran,Chopra,Female,Maharashtra,Aurangabad,1993-11-20,2021-02-05,,Operations,Operations Executive,Bachelor's,Good,No,39197,42400
HR00174,Suresh,Ghosh,Male,Uttar Pradesh,Kanpur,1983-02-20,2017-02-16,,Sales,Account Executive,Diploma,Good,Yes,45880,47266
HR00175,Neha,Rao,Female,Karnataka,Hubli,1979-06-03,2022-03-27,,Operations,Operations Executive,Bachelor's,Good,No,63873,69776
HR00176,Anil,Sharma,Female,Maharashtra,Nagpur,1982-07-03,2022-01-29,2023-02-10,IT,Software Engineer,Master's,Good,No,104454,119541
HR00177,Saanvi,Khan,Male,Tamil Nadu,Coimbatore,1983-10-17,2017-09-29,,Customer Support,Customer Support Rep,High School,Excellent,No,57337,57910
HR00178,Suresh,Kulkarni,Female,Tamil Nadu,Coimbatore,1991-11-09,2023-03-31,,IT,Senior Software Engineer,Bachelor's,Good,Yes,103351,111796
HR00179,Kiran,Iyer,Male,Punjab,Ludhiana,1985-03-15,2024-09-11,,Admin,Office Assistant,Diploma,Satisfactory,No,33046,34381
HR00180,Krishna,Pandey,Male,Uttar Pradesh,Varanasi,1993-08-27,2015-05-11,,Finance,Accountant,Bachelor's,Satisfactory,Yes,70406,73926
